File,imdb_id,Question,ComparedWith,MeanSimilarity,MedianSimilarity,MaxSimilarity
aireviews_chatgpt_screenplays.csv,tt0388795,Question1,negative IMDb reviews (rating < 7),0.40010844959316216,0.3657205634755625,0.538377445825744
aireviews_chatgpt_screenplays.csv,tt0388795,Question2,positive IMDb reviews (rating > 7),0.2714065305621486,0.27101869670447526,0.501928949543326
aireviews_chatgpt_screenplays.csv,tt0190332,Question1,negative IMDb reviews (rating < 7),0.4122421923618324,0.4412772629555292,0.521388603630881
aireviews_chatgpt_screenplays.csv,tt0190332,Question2,positive IMDb reviews (rating > 7),0.3669310646469803,0.3672513672719493,0.5159666500159356
aireviews_chatgpt_screenplays.csv,tt0111161,Question1,negative IMDb reviews (rating < 7),0.3007699484149632,0.3328511791504952,0.4520626820471601
aireviews_chatgpt_screenplays.csv,tt0111161,Question2,positive IMDb reviews (rating > 7),0.2440569984202051,0.2482107482442593,0.3951993293064266
aireviews_chatgpt_screenplays.csv,tt9770150,Question1,negative IMDb reviews (rating < 7),0.213029584022033,0.20159097936303988,0.3984134592875798
aireviews_chatgpt_screenplays.csv,tt9770150,Question2,positive IMDb reviews (rating > 7),0.2570731732973074,0.2318886136320358,0.5285473233809623
aireviews_chatgpt_screenplays.csv,tt0499549,Question1,negative IMDb reviews (rating < 7),0.4328150295553063,0.4338190178648468,0.5717903507780134
aireviews_chatgpt_screenplays.csv,tt0499549,Question2,positive IMDb reviews (rating > 7),0.2786237743745654,0.2613456188099727,0.49183811822490825
aireviews_chatgpt_screenplays.csv,tt0120338,Question2,positive IMDb reviews (rating > 7),0.29839175507966753,0.27553247519173424,0.5902971752549981
aireviews_deepseek_screenplays.csv,tt0388795,Question1,negative IMDb reviews (rating < 7),0.5418879436719701,0.5487080055990059,0.6226466442177987
aireviews_deepseek_screenplays.csv,tt0388795,Question2,positive IMDb reviews (rating > 7),0.45123628062517046,0.43265595272680607,0.624250812949035
aireviews_deepseek_screenplays.csv,tt0190332,Question1,negative IMDb reviews (rating < 7),0.5011159592760004,0.5413965361168415,0.605930703167735
aireviews_deepseek_screenplays.csv,tt0190332,Question2,positive IMDb reviews (rating > 7),0.4349548765262594,0.44231730458997026,0.5936858876614737
aireviews_deepseek_screenplays.csv,tt0111161,Question1,negative IMDb reviews (rating < 7),0.3794923739520983,0.39886655188610276,0.6022334423207992
aireviews_deepseek_screenplays.csv,tt0111161,Question2,positive IMDb reviews (rating > 7),0.45304140880152993,0.4566829401573148,0.7070433676568635
aireviews_deepseek_screenplays.csv,tt9770150,Question1,negative IMDb reviews (rating < 7),0.454496852921104,0.4719083521413177,0.5880395104816594
aireviews_deepseek_screenplays.csv,tt9770150,Question2,positive IMDb reviews (rating > 7),0.44980811660426745,0.44493198347095814,0.642966537991399
aireviews_deepseek_screenplays.csv,tt0499549,Question1,negative IMDb reviews (rating < 7),0.6364831207056113,0.6591799397617619,0.7514052349376146
aireviews_deepseek_screenplays.csv,tt0499549,Question2,positive IMDb reviews (rating > 7),0.42122780254008696,0.39886656312305235,0.6524384404727104
aireviews_deepseek_screenplays.csv,tt0120338,Question2,positive IMDb reviews (rating > 7),0.41186507858957006,0.40589368360821604,0.6695020517971603
aireviews_gemini_screenplays.csv,tt0388795,Question1,negative IMDb reviews (rating < 7),0.5502170881895564,0.5801122471234985,0.6618642022821218
aireviews_gemini_screenplays.csv,tt0388795,Question2,positive IMDb reviews (rating > 7),0.4494112809171401,0.4455451746836268,0.6729840318741125
aireviews_gemini_screenplays.csv,tt0190332,Question1,negative IMDb reviews (rating < 7),0.4798141904105133,0.5201715286926228,0.5819523610835159
aireviews_gemini_screenplays.csv,tt0190332,Question2,positive IMDb reviews (rating > 7),0.42085386789197426,0.41895318842818563,0.6085654392288401
aireviews_gemini_screenplays.csv,tt0111161,Question1,negative IMDb reviews (rating < 7),0.4148178430025208,0.4382840327026071,0.6073846214814916
aireviews_gemini_screenplays.csv,tt0111161,Question2,positive IMDb reviews (rating > 7),0.43615951866630026,0.4431332403042432,0.7350447963099265
aireviews_gemini_screenplays.csv,tt9770150,Question1,negative IMDb reviews (rating < 7),0.4478687387123001,0.4764926171107626,0.6519453555600512
aireviews_gemini_screenplays.csv,tt9770150,Question2,positive IMDb reviews (rating > 7),0.47360266597508016,0.46459827038628077,0.6885654737298009
aireviews_gemini_screenplays.csv,tt0499549,Question1,negative IMDb reviews (rating < 7),0.6075416297322885,0.5862577325245052,0.7615115273820541
aireviews_gemini_screenplays.csv,tt0499549,Question2,positive IMDb reviews (rating > 7),0.41568015444263373,0.40187714230242405,0.6556033442668391
aireviews_gemini_screenplays.csv,tt0120338,Question2,positive IMDb reviews (rating > 7),0.4201552467866501,0.4111750622902137,0.6981871413162456
aireviews_gemini_screenplays_context_variation.csv,tt0388795,Question1,negative IMDb reviews (rating < 7),0.57108702377146,0.5559949387109224,0.6858803549860238
aireviews_gemini_screenplays_context_variation.csv,tt0388795,Question2,positive IMDb reviews (rating > 7),0.4533433543467048,0.42267871286647324,0.6784246689911322
aireviews_gemini_screenplays_context_variation.csv,tt0190332,Question1,negative IMDb reviews (rating < 7),0.48778648782399314,0.5026071004778256,0.6174560866508761
aireviews_gemini_screenplays_context_variation.csv,tt0190332,Question2,positive IMDb reviews (rating > 7),0.40176432736825557,0.4027339498177234,0.5695923972673177
aireviews_gemini_screenplays_context_variation.csv,tt0111161,Question1,negative IMDb reviews (rating < 7),0.45303886516871295,0.45431884152895513,0.6744271233706337
aireviews_gemini_screenplays_context_variation.csv,tt0111161,Question2,positive IMDb reviews (rating > 7),0.45186956590818833,0.48464269735079746,0.6282304159472875
aireviews_gemini_screenplays_context_variation.csv,tt9770150,Question1,negative IMDb reviews (rating < 7),0.4201294321324433,0.4393050467435119,0.5738378003849076
aireviews_gemini_screenplays_context_variation.csv,tt9770150,Question2,positive IMDb reviews (rating > 7),0.4795328595637154,0.44052027739961874,0.657962329708343
aireviews_gemini_screenplays_context_variation.csv,tt0499549,Question1,negative IMDb reviews (rating < 7),0.6127683594087036,0.5991712189106332,0.7200711718138798
aireviews_gemini_screenplays_context_variation.csv,tt0499549,Question2,positive IMDb reviews (rating > 7),0.39885114366476637,0.3807742085520982,0.6314988935183458
aireviews_gemini_screenplays_context_variation.csv,tt0120338,Question2,positive IMDb reviews (rating > 7),0.39262774662155964,0.4087658471170931,0.6546149732704609
