Model,Movie,Question,Average Negative,Average Neutral,Average Positive
deepseek,The Shawshank Redemption,question1,0.77198076,0.18554993,0.042469252
deepseek,The Shawshank Redemption,question2,0.015920807,0.14226277,0.8418164
deepseek,The Shawshank Redemption,question3,0.10823731,0.29533476,0.59642804
deepseek,Brokeback Mountain,question1,0.8394682,0.1309524,0.02957948
deepseek,Brokeback Mountain,question2,0.047165476,0.30308598,0.64974856
deepseek,Brokeback Mountain,question3,0.18869713,0.38639665,0.42490616
deepseek,Avatar,question1,0.65209895,0.2670317,0.08086941
deepseek,Avatar,question2,0.036931597,0.19871715,0.76435125
deepseek,Avatar,question3,0.17517772,0.36576957,0.4590528
deepseek,Titanic,question1,0.71145326,0.2256798,0.06286701
deepseek,Titanic,question2,0.09866647,0.29483205,0.60650146
deepseek,Titanic,question3,0.20785241,0.34790605,0.44424158
deepseek,"Crouching Tiger, Hidden Dragon",question1,0.68026906,0.25197348,0.06775748
deepseek,"Crouching Tiger, Hidden Dragon",question2,0.018208478,0.20197162,0.7798199
deepseek,"Crouching Tiger, Hidden Dragon",question3,0.13712592,0.3752015,0.48767257
deepseek,Nomadland,question1,0.5804821,0.29512805,0.12438984
deepseek,Nomadland,question2,0.032377925,0.2498982,0.71772385
deepseek,Nomadland,question3,0.23324955,0.41792542,0.34882504
chatgpt,The Shawshank Redemption,question1,0.9348545,0.058439516,0.0067060376
chatgpt,The Shawshank Redemption,question2,0.0019757426,0.026416495,0.9716078
chatgpt,The Shawshank Redemption,question3,0.00267854,0.040633142,0.9566883
chatgpt,Brokeback Mountain,question1,0.95942515,0.034475323,0.0060995235
chatgpt,Brokeback Mountain,question2,0.010839316,0.09281429,0.8963464
chatgpt,Brokeback Mountain,question3,0.1255455,0.12437995,0.7500746
chatgpt,Avatar,question1,0.9401196,0.05157453,0.008305797
chatgpt,Avatar,question2,0.0013890609,0.018377814,0.9802331
chatgpt,Avatar,question3,0.0022333418,0.027602587,0.9701641
chatgpt,Titanic,question1,0.59726024,0.20994422,0.19279559
chatgpt,Titanic,question2,0.004938647,0.040695086,0.9543663
chatgpt,Titanic,question3,0.086263165,0.13860911,0.77512777
chatgpt,"Crouching Tiger, Hidden Dragon",question1,0.96445596,0.03148798,0.0040560095
chatgpt,"Crouching Tiger, Hidden Dragon",question2,0.0013886831,0.029831896,0.9687794
chatgpt,"Crouching Tiger, Hidden Dragon",question3,0.18281485,0.0498428,0.7673423
chatgpt,Nomadland,question1,0.9457906,0.046344537,0.007864874
chatgpt,Nomadland,question2,0.0016788666,0.03075011,0.9675711
chatgpt,Nomadland,question3,0.0023933514,0.055859696,0.9417469
gemini,The Shawshank Redemption,question1,0.6610516,0.22982106,0.109127305
gemini,The Shawshank Redemption,question2,0.22378436,0.3043602,0.47185546
gemini,The Shawshank Redemption,question3,0.23929362,0.29051688,0.4701895
gemini,Brokeback Mountain,question1,0.70774275,0.22707331,0.06518394
gemini,Brokeback Mountain,question2,0.26321182,0.35104528,0.38574296
gemini,Brokeback Mountain,question3,0.26139885,0.3282857,0.41031545
gemini,Avatar,question1,0.65496016,0.26197457,0.08306527
gemini,Avatar,question2,0.17697802,0.2947847,0.5282373
gemini,Avatar,question3,0.4010006,0.30769297,0.29130644
gemini,Titanic,question1,0.73410237,0.21624756,0.049650062
gemini,Titanic,question2,0.31056058,0.33063507,0.35880435
gemini,Titanic,question3,0.38739055,0.34824586,0.2643636
gemini,"Crouching Tiger, Hidden Dragon",question1,0.71848744,0.2181412,0.06337129
gemini,"Crouching Tiger, Hidden Dragon",question2,0.08379276,0.2344741,0.68173313
gemini,"Crouching Tiger, Hidden Dragon",question3,0.3462879,0.33433467,0.3193774
gemini,Nomadland,question1,0.68578064,0.23317602,0.08104329
gemini,Nomadland,question2,0.21334186,0.38716254,0.3994956
gemini,Nomadland,question3,0.23891477,0.37139255,0.3896927
